"id_block" "species" "sample_size" "slope_temperature" "slope_rainfall" "abs_slope_temperature" "abs_slope_rainfall" "fam_sys_known50" "fam_sys_inferred50" "coop_num" "hand_wing_index" "migration" "mass" "logmass" "latitude" "abs_latitude"
"40" "10339_3" "Spheniscus_demersus" 18 0.485222467394667 0.0643578896161767 0.485222467394667 0.0643578896161767 "no_fam" "1_no_fam" 1 3.7 2 3130.1 8.04882023190563 -33.03639 33.03639
"41" "10342_3" "Spheniscus_demersus" 18 0.0679100275438367 0.0241411400976667 0.0679100275438367 0.0241411400976667 "no_fam" "1_no_fam" 1 3.7 2 3130.1 8.04882023190563 -34.137483 34.137483
"42" "10345_1" "Spheniscus_demersus" 18 -0.255385083934667 -0.0196277217418333 0.255385083934667 0.0196277217418333 "no_fam" "1_no_fam" 1 3.7 2 3130.1 8.04882023190563 -34.36667 34.36667
"43" "10346_3" "Spheniscus_demersus" 18 -0.243770058500667 0.03543101910926 0.243770058500667 0.03543101910926 "no_fam" "1_no_fam" 1 3.7 2 3130.1 8.04882023190563 -33.1525 33.1525
"44" "10359_1" "Spheniscus_demersus" 26 -0.0588990252373333 0.00478339311206667 0.0588990252373333 0.00478339311206667 "no_fam" "1_no_fam" 1 3.7 2 3130.1 8.04882023190563 -33.8 33.8
"45" "10374_1" "Sturnus_vulgaris" 13 -0.239287503299333 -0.0443120261066 0.239287503299333 0.0443120261066 "no_fam" "1_no_fam" 1 38.4 2 77.1 4.34510328056928 60.53333 60.53333
"46" "10380_1" "Sturnus_vulgaris" 11 -0.0170261507838333 -0.223062887156933 0.0170261507838333 0.223062887156933 "no_fam" "1_no_fam" 1 38.4 2 77.1 4.34510328056928 64.75 64.75
"47" "1041_1" "Dendrocygna_autumnalis" 20 -0.0248961810066667 -0.0713546731244667 0.0248961810066667 0.0713546731244667 "family" "2_family" 2 32.7 2 755.3 6.6271150213194 26 26
"48" "10415_3" "Atrichornis_clamosus" 12 -0.0083836112349 -0.03477347267336 0.0083836112349 0.03477347267336 "family" "2_family" 2 6 1 42.2 3.74242022104197 -34.8 34.8
"49" "1042_1" "Dendrocygna_bicolor" 24 0.0356585028120333 0.0284097489365 0.0356585028120333 0.0284097489365 "no_fam" "1_no_fam" 1 29.7 2 756.4 6.6285703367843 26 26
